iter	Passed	Remaining
0	188	18649
1	204	10009
2	229	7420
3	250	6020
4	267	5074
5	289	4527
6	307	4089
7	325	3744
8	349	3533
9	373	3361
10	417	3377
11	441	3235
12	459	3078
13	481	2956
14	498	2826
15	516	2711
16	537	2625
17	560	2554
18	579	2470
19	594	2379
20	614	2312
21	640	2269
22	657	2202
23	675	2140
24	689	2069
25	706	2012
26	723	1956
27	740	1903
28	770	1885
29	795	1856
30	807	1796
31	826	1756
32	845	1715
33	863	1676
34	883	1641
35	900	1600
36	919	1566
37	937	1530
38	955	1494
39	970	1455
40	987	1421
41	1007	1391
42	1027	1362
43	1047	1332
44	1067	1304
45	1087	1276
46	1105	1246
47	1137	1231
48	1158	1205
49	1175	1175
50	1189	1143
51	1206	1113
52	1229	1090
53	1243	1059
54	1259	1030
55	1275	1002
56	1291	974
57	1309	948
58	1323	919
59	1337	891
60	1351	864
61	1364	836
62	1380	810
63	1393	783
64	1407	758
65	1420	731
66	1435	707
67	1452	683
68	1471	661
69	1486	637
70	1502	613
71	1515	589
72	1530	566
73	1546	543
74	1562	520
75	1577	498
76	1591	475
77	1604	452
78	1618	430
79	1634	408
80	1647	386
81	1662	364
82	1678	343
83	1695	322
84	1712	302
85	1731	281
86	1750	261
87	1769	241
88	1791	221
89	1813	201
90	1830	181
91	1855	161
92	1887	142
93	1907	121
94	1927	101
95	1950	81
96	1974	61
97	1997	40
98	2023	20
99	2059	0
